datetime;sym;price
20 nov. 2023 16h32;ABBN;33.63
20 nov. 2023 16h52;ABBN;33.61
20 nov. 2023 16h53;AI;170.47
20 nov. 2023 16h56;CSBGU0;136.7
20 nov. 2023 17h01;ABBN;33.59
20 nov. 2023 17h03;ABBN;33.59
20 nov. 2023 17h04;ABBN;33.59
20 nov. 2023 17h04;AI;170.37
20 nov. 2023 17h04;DTLA;4.309
20 nov. 2023 17h04;HOLN;61.6
20 nov. 2023 17h04;MC;717.1
20 nov. 2023 17h04;NESN;98.23
20 nov. 2023 17h04;OR;421.95
20 nov. 2023 17h05;QQQ;388.95
20 nov. 2023 17h05;SLHN;571.4
20 nov. 2023 17h05;TTE;63.0
20 nov. 2023 17h53;ESTX50;4343.89
20 nov. 2023 17h54;GDX;28.44
20 nov. 2023 17h54;GOLD;15.8
20 nov. 2023 17h54;JNJ;149.73000000000002
20 nov. 2023 17h55;NEM;36.76
20 nov. 2023 17h55;OXY;61.6
20 nov. 2023 17h55;TLT;89.92
20 nov. 2023 17h56;XLP;69.32
20 nov. 2023 17h59;CCJ;44.67
20 nov. 2023 18h55;ESTX50;4342.41
20 nov. 2023 19h56;ESTX50;4342.41
20 nov. 2023 20h40;GOLD;15.81
